"Id","Year","Appendix","Taxon","Class","Order","Family","Genus","Term","Quantity","Unit","Importer","Exporter","Origin","Purpose","Source","Reporter.type","Import.permit.RandomID","Export.permit.RandomID","Origin.permit.RandomID"
"7360781051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","IT","CH","VN","T","C","E","","4a1dde00ad","8505e0dd49"
"3259279851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","84e72435d8","821bbd99b0"
"9289465151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","42588a6413","5c1bd00472"
"3692612151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","BH","CH","VN","T","C","E","","1d3fa356e7","4aced1799e"
"6594577551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","AU","CH","VN","T","C","E","","e202ba3e64","5e71f3cf7b"
"4573339751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","e202ba3e64","5b7a70c822"
"7305463051",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","e202ba3e64","675c8d2642"
"6625876851",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","AU","CH","VN","T","C","E","","428340cddb","c9fa593357"
"3548817551",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","21abd5bd72","675c8d2642"
"8313945751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","21abd5bd72","675c8d2642"
"6550086351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","ae3921ad93","759835cd18"
"2067992651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","US","CH","VN","T","C","E","","f1d964b5c7","4aced1799e"
"6831387351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","US","CH","VN","T","C","E","","28f99cc5a0","c4de69a631"
"4063651751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","2ee48779f3","fc3c721e5f"
"7778003351",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","231f5bc871","7db28c17ec"
"4948708151",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","989c322c17","7db28c17ec"
"8534771451",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","f661bc6750","7db28c17ec"
"8578149651",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","384faec52a","7db28c17ec"
"8863550251",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",2,"Number of specimens","FR","CH","VN","T","C","E","","30ca3cbf54","7db28c17ec"
"1199934751",2020,"II","Python bivittatus","Reptilia","Serpentes","Pythonidae","Python","leather products (small)",1,"Number of specimens","FR","CH","VN","T","C","E","","77ee63b3fe","7db28c17ec"
